branch_id,brname,n
S259,บิ๊กซี สมุย สุราษฎร์ธานี,75
S051,โลตัส บางแค,72
S481,โลตัส เชียงของ เชียงราย,71
S020,โลตัส มีนบุรี,67
S021,โลตัส เชียงใหม่ หางดง,67
S343,บิ๊กซี ลพบุรี 2,67
S350,บิ๊กซี ชุมพร,66
S120,โลตัส พงษ์เพชร,63
S144,โลตัส มุกดาหาร,63
S311,โลตัส ศรีสะเกษ,63
S425,ตึกคอม ชลบุรี,63
S477,โลตัส นครสวรรค์,63
S355,บิ๊กซี หทัยราษฎร์,62
S227,โลตัส ปากเกร็ด,60
S313,บิ๊กซี นวนคร,60
S522,บลูพอร์ต หัวหิน ประจวบคีรีขันธ์,60
S055,โลตัส แจ้งวัฒนะ,59
S101,บิ๊กซี สำโรง 2,59
S180,โคลิเซี่ยม พาราไดส์ ภูเก็ต,59
S398,โลตัส พานทอง ชลบุรี,59
S424,โลตัส ท่ายาง เพชรบุรี,59
S324,บิ๊กซี วารินชำราบ อุบลราชธานี,58
S409,โลตัส ขาณุวรลักษณ์ กำแพงเพชร,58
S428,โลตัส พุนพิน สุราษฎร์ธานี,58
S028,ไดอาน่า หาดใหญ่,57
S122,บิ๊กซี ราษฎร์บูรณะ,57
S186,บิ๊กซี รังสิต 2,57
S405,โลตัส หาดใหญ่ 2 สงขลา,57
S460,สุนีย์ ทาวเวอร์ อุบลราชธานี ชั้น 3,57
S147,โลตัส จรัญสนิทวงศ์,56
S352,สุขอนันต์ ปาร์ค สระบุรี,56
S475,ตึกคอม แลนด์มาร์ค อุดรธานี,56
S484,บิ๊กซี สุพรรณบุรี,56
S017,โลตัส พระราม 2,55
S126,บิ๊กซี พัทยาใต้,55
S173,SK ช้อปปิ้งพาร์ค อุบลราชธานี,55
S209,โลตัส วัชรพล,55
S328,บิ๊กซี หางดง 2,55
S342,เมเจอร์ ซีนีเพล็กซ์ สุขุมวิท,55
S501,โลตัส จะนะ สงขลา,55
S529,บิ๊กซี ลำปาง,55
S254,โลตัส ท่าบ่อ หนองคาย,54
S301,โลตัส สิงห์บุรี,54
S322,บิ๊กซี มหาสารคาม,54
S344,บิ๊กซี ลำลูกกา 2,54
S358,บิ๊กซี เคหะร่มเกล้า,54
S396,โลตัส ย่านตาขาว ตรัง,54
S496,บิ๊กซี กาญจนบุรี,54
S094,ตึกคอม ศรีราชา ชลบุรี,53
S119,โลตัส กาญจนบุรี,53
S137,เวียงตาก พลาซ่า,53
S157,เดอะมอลล์ รามคำแหง,53
S165,โลตัส สกลนคร,53
S174,ตึกคอม โฆษะ ขอนแก่น,53
S307,บิ๊กซี เพชรบูรณ์,53
S473,โลตัส แม่สอด ตาก 2,53
S239,บิ๊กซี ชลบุรี 2,52
S280,โลตัส สามชุก สุพรรณบุรี,52
S399,โลตัส บางสะพาน ประจวบคีรีขันธ์,52
S508,บิ๊กซี อรัญประเทศ สระแก้ว,52
S117,โลตัส สมุย,51
S245,โลตัส ซิตี้พาร์ค บางพลี,51
S486,โลตัส เวียงสระ สุราษฎร์ธานี,51
S027,ศูนย์หนังสือ ม.สยาม,50
S288,เซ็นเตอร์ สแควร์ ลพบุรี,50
S349,สหไทยพลาซ่า ทุ่งสง,50
S367,NK พังงา,50
S444,เซ็นทรัล พลาซา อุดรธานี ชั้น 4,50
