to,ext_document,date,item_no,from,qty,src
S069,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S085,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S164,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S450,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S077,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S149,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S472,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S123,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S178,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S158,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S480,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S361,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S157,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S423,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S264,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S159,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S340,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S022,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S406,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S459,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S371,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S485,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S352,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S534,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S102,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S214,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S288,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S279,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S531,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S180,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S060,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
S242,ปูขายดี,07-08-2018,1294877735199,S000,3,t150
